5.865209032396907496e-01,1.490043963267615679e+00,-5.865209032396907496e-01,-3.188411271369739897e-02,-3.165342155949550373e-01,-3.822368254171497615e-01
5.794948581866622428e-01,1.449122716076887585e+00,-5.617539882170420329e-01,-1.974868333385882552e-02,-3.083739961752531289e-01,-3.789071752651786973e-01
5.647728971384435859e-01,1.401216406389141245e+00,-5.661496254522333516e-01,-4.941524496484280271e-01,-1.905796646078189716e-01,-6.763969954537134288e-02
5.529029579774106251e-01,1.355997866047367717e+00,-5.531072225239420659e-01,-4.787382882788569494e-01,-1.910323757416797774e-01,-6.466142669751519245e-02
5.407144468092814904e-01,1.311703556883144994e+00,-5.399469497060664924e-01,-4.634981626916305220e-01,-1.908167076628771164e-01,-6.155834320549039007e-02
5.286721281693668173e-01,1.268242660295270774e+00,-5.268158503398373549e-01,-4.485218133832336029e-01,-1.903691265826588375e-01,-5.839799883983538831e-02
5.168351215859219305e-01,1.225599204705059675e+00,-5.137280845126219742e-01,-4.338198134308545173e-01,-1.897746388290164343e-01,-5.520366513112372892e-02
5.052091698003534637e-01,1.183766296192507950e+00,-5.006841471581915393e-01,-4.193919061451651942e-01,-1.890663742760605726e-01,-5.199165189363833678e-02
4.937879779747875730e-01,1.142738630677248457e+00,-4.876834052296110111e-01,-4.052361480793720827e-01,-1.882624568560775646e-01,-4.877663001183687314e-02
4.825619886898855904e-01,1.102511013953040298e+00,-4.747260300653053933e-01,-3.913513838166740588e-01,-1.873749451801274557e-01,-4.557296460437749996e-02
4.715206028803083926e-01,1.063078049381825929e+00,-4.618130557029261340e-01,-3.777380210476013467e-01,-1.864129330274291452e-01,-4.239497259854067140e-02
4.606526351499845018e-01,1.024434115305648874e+00,-4.489460859515818636e-01,-3.643980646808023804e-01,-1.853839402046293106e-01,-3.925681439313018217e-02
4.499462415843713536e-01,9.865734114259274712e-01,-4.361270025362346536e-01,-3.513347508814819720e-01,-1.842946772533638755e-01,-3.617231742751393642e-02
4.393886923019041379e-01,9.494900124585456958e-01,-4.233577472422721533e-01,-3.385520076480146856e-01,-1.831515400782108005e-01,-3.315489488304530080e-02
4.289660766429191363e-01,9.131779181734676065e-01,-4.106401637167929608e-01,-3.260539271659965155e-01,-1.819609817015927222e-01,-3.021765114156289497e-02
4.186629098016980133e-01,8.776311078896466000e-01,-3.979758560772682086e-01,-3.138443872724457906e-01,-1.807298449081787273e-01,-2.737372310962254279e-02
